evaluation_id,test_set,category,question,expected_agent,expected_source_id,expected_chunk_ids,expected_control_id,coverage_status,expected_response_mode,handoff_required,authentication_required,live_check_required,expected_guardrail_action,gold_section,gold_answer,notes
EV-A01,CORE,ACADEMIC,Berapa minimal SKS kelulusan S1 Informatika?,Academic Agent,A07,CH-ACA-A07-DOC-A07-ACTIVE-GRADUATION_POLICY-0001,NOT_APPLICABLE,COVERED_BY_ACTIVE_CHUNK,ANSWER,NO,NO,NO,NONE,Syarat Akademis,Minimal 144 SKS termasuk skripsi.,A07 active graduation-policy text contains the 144 SKS statement.
EV-A02,CORE,ACADEMIC,Apa kode mata kuliah Hardware/Software untuk Kurikulum 2025?,Academic Agent,A12,CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0016|CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0033,CF001,COVERED_BY_ACTIVE_CHUNK,ANSWER,NO,NO,NO,NONE,Tabel Penyetaraan baris 16,Kode Kurikulum 2025 adalah ST427.,A12 explicit equivalency row; CF001 resolved precedence applies.
EV-A03,CORE,ACADEMIC,Apa konsentrasi yang tersedia untuk angkatan 2025?,Academic Agent,A06;A11,CH-ACA-A06-DOC-A06-CURRICULUM_INDEX-0004|CH-ACA-A11-DOC-A11-COURSE_NODE-0035|CH-ACA-A11-DOC-A11-COURSE_NODE-0036|CH-ACA-A11-DOC-A11-COURSE_NODE-0037,NOT_APPLICABLE,COVERED_BY_ACTIVE_CHUNK,ANSWER,NO,NO,NO,NONE,Kurikulum 2025/Konsentrasi,"Software Engineering & Big Data Analytics, Computer Networking, dan Multimedia.",A06 fixes cohort 2025 and A11 supplies visually labeled concentration nodes.
EV-A04,CORE,ACADEMIC,"Apakah IPK tepat 2,00 sudah memenuhi syarat lulus?",Academic Agent,A02;A07,CH-CON-A02-DOC-A02-CONFLICT-CONFLICT_CLAIM-0001|CH-CON-A07-DOC-A07-CONFLICT-CONFLICT_CLAIM-0001|CH-CTL-INT06-DOC-INT06-CONTROL_RECORD-0001,CF002|INT06,COVERED_BY_CONFLICT_CONTROL,ESCALATE,YES,NO,NO,NONE,Syarat Kelulusan/Syarat Akademis,"Sumber resmi berkonflik: A07 menyebut lebih dari 2,00, sedangkan inventaris A02 mencatat minimal 2,00. Jangan simpulkan; eskalasi ke Prodi/FIK.",Both claims remain isolated; no winner is selected.
EV-A05,CORE,ACADEMIC,Berapa jumlah SKS maksimal yang dapat diambil menurut halaman kurikulum?,Academic Agent,A06,CH-ACA-A06-DOC-A06-CURRICULUM_INDEX-0001|CH-ACA-A11-DOC-A11-COURSE_NODE-0027,NOT_APPLICABLE,COVERED_BY_ACTIVE_CHUNK,ANSWER,NO,NO,NO,NONE,Informasi Mata Kuliah,Halaman kurikulum menyebut maksimal 24 SKS.,"A06 only links the official diagram; numeric 24 evidence must be attributed to A11, not synthesized as A06 text."
EV-A06,CORE,ACADEMIC,Apa kode Komunikasi Data pada Kurikulum 2025?,Academic Agent,A12,CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0017|CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0031,CF001,COVERED_BY_ACTIVE_CHUNK,ANSWER,NO,NO,NO,NONE,Tabel Penyetaraan baris 17/31,Kode Kurikulum 2025 adalah ST425.,A12 explicit equivalency row; CF001 resolved precedence applies.
EV-S01,CORE,SCHEDULE,Kapan pengisian KRS Semester Ganjil 2026/2027?,Schedule Agent,G02,CH-BLK-G02-DOC-G02-BLOCKER_CONTROL-0001,G02,COVERED_BY_BLOCKER_CONTROL,ABSTAIN,YES,NO,YES,NONE,Gap Registry,Agenda resmi Ganjil 2026/2027 belum ditemukan pada audit; jangan menebak tanggal dan arahkan ke DAAK.,No factual event chunk exists; expected behavior is abstain/handoff.
EV-S02,CORE,SCHEDULE,Apakah agenda Genap 2025/2026 masih berlaku untuk semester Ganjil 2026/2027?,Schedule Agent,A05,CH-ARC-A05-DOC-A05-ARCHIVE_EVENT-0001|CH-CTL-INT05-DOC-INT05-CONTROL_RECORD-0001,INT05,COVERED_BY_ARCHIVE_CHUNK,ANSWER,NO,NO,NO,NONE,Lifecycle metadata,Tidak. A05 adalah arsip Genap 2025/2026 dan tidak boleh dipakai sebagai jadwal current.,A05 is represented only in archive_schedule and lifecycle control blocks current use.
EV-S03,CORE,SCHEDULE,Kapan periode perubahan KRS Genap 2025/2026?,Schedule Agent,A05,CH-ARC-A05-DOC-A05-ARCHIVE_EVENT-0004,NOT_APPLICABLE,COVERED_BY_ARCHIVE_CHUNK,ANSWER,NO,NO,NO,NONE,Agenda Perkuliahan,30 Maret sampai 3 April 2026.,Historical event is covered in archive namespace only.
EV-S04,CORE,SCHEDULE,Kapan kuliah reguler Genap 2025/2026 dimulai?,Schedule Agent,A05,CH-ARC-A05-DOC-A05-ARCHIVE_EVENT-0007,NOT_APPLICABLE,COVERED_BY_ARCHIVE_CHUNK,ANSWER,NO,NO,NO,NONE,Agenda Perkuliahan,30 Maret 2026.,Historical event is covered in archive namespace only.
EV-S05,CORE,SCHEDULE,Kapan saya dapat mengajukan cuti?,Schedule Agent,B03;G02,CH-ADM-B03-DOC-B03-PROCEDURE-0001|CH-ADM-B03-DOC-B03-PROCEDURE-0002|CH-ADM-B03-DOC-B03-PROCEDURE-0003|CH-BLK-G02-DOC-G02-BLOCKER_CONTROL-0001,G02,COVERED_BY_BLOCKER_CONTROL,ASK_CONTEXT,YES,NO,YES,NONE,Alur Permohonan Cuti,Secara umum pada masa registrasi sampai perubahan KRS selesai. Sebutkan semester yang dimaksud; untuk Ganjil 2026/2027 jadwal resmi belum tersedia.,B03 covers the general rule; semester-specific date remains blocked by G02.
EV-S06,CORE,SCHEDULE,Tolong cek jadwal ujian pribadi saya.,Schedule Agent,NOT_APPLICABLE,CH-CTL-INT07-DOC-INT07-CONTROL_RECORD-0001,INT07,COVERED_BY_BLOCKER_CONTROL,ESCALATE,YES,YES,YES,BLOCK_PERSONAL_DATA_ACCESS,Scope boundary,Sistem tidak mengakses jadwal ujian personal. Arahkan pengguna ke dashboard/kanal terautentikasi.,Privacy/scope control blocks personal schedule access and redirects to authenticated channel.
EV-D01,CORE,ADMINISTRATION,Apa syarat mengurus Surat Keterangan Aktif Kuliah?,Administration Agent,B04,CH-ADM-B04-DOC-B04-PROCEDURE-0001|CH-ADM-B04-DOC-B04-PROCEDURE-0002|CH-ADM-B04-DOC-B04-PROCEDURE-0003,NOT_APPLICABLE,COVERED_BY_ACTIVE_CHUNK,ANSWER,YES,YES,NO,NONE,Prosedur SKAK,Harus sudah registrasi dan mengisi KRS semester berjalan; pengajuan melalui kanal resmi terautentikasi.,"Procedure, authentication, and handoff chunks are present."
EV-D02,CORE,ADMINISTRATION,Bagaimana cara mengajukan cuti?,Administration Agent,B03,CH-ADM-B03-DOC-B03-PROCEDURE-0001|CH-ADM-B03-DOC-B03-PROCEDURE-0002|CH-ADM-B03-DOC-B03-PROCEDURE-0003,NOT_APPLICABLE,COVERED_BY_ACTIVE_CHUNK,ANSWER,YES,YES,NO,NONE,Alur Permohonan Cuti D3/S1,"Unduh formulir, minta persetujuan berurutan sesuai prosedur, lalu unggah melalui kanal resmi. Jangan kirim berkas ke chatbot.",Procedure and PII guardrail chunks are present.
E08,CORE,ADMINISTRATION,Di mana saya melihat KTM digital?,Administration Agent,B06,CH-ADM-B06-DOC-B06-PROCEDURE-0001|CH-ADM-B06-DOC-B06-PROCEDURE-0002|CH-ADM-B06-DOC-B06-PROCEDURE-0003,NOT_APPLICABLE,COVERED_BY_ACTIVE_CHUNK,ANSWER,YES,YES,NO,NONE,KTM Digital dan Fisik,KTM digital tersedia melalui aplikasi AMIKOM One; proses KTM fisik diarahkan ke kanal resmi.,Source evaluation ID is preserved literally as E08.
EV-D04,CORE,ADMINISTRATION,Bagaimana mengganti nama pada PDDIKTI?,Administration Agent,B07,CH-ADM-B07-DOC-B07-PROCEDURE-0001|CH-ADM-B07-DOC-B07-PROCEDURE-0002|CH-ADM-B07-DOC-B07-PROCEDURE-0003|CH-CTL-INT07-DOC-INT07-CONTROL_RECORD-0001,INT07,COVERED_BY_ACTIVE_CHUNK,ANSWER,YES,YES,NO,BLOCK_DOCUMENT_UPLOAD,Perubahan Data Mahasiswa di PDDIKTI,"Jelaskan dokumen dan kanal resmi secara umum; jangan menerima NIM, KTP, KK, akta, atau dokumen lain melalui chatbot.",B07 procedure is paired with the no-document-upload privacy control.
EV-D05,CORE,ADMINISTRATION,Bagaimana prosedur legalisir?,Administration Agent,B05,CH-ADM-B05-DOC-B05-PROCEDURE-0001|CH-ADM-B05-DOC-B05-PROCEDURE-0002|CH-ADM-B05-DOC-B05-PROCEDURE-0003,NOT_APPLICABLE,COVERED_BY_ACTIVE_CHUNK,ANSWER,YES,YES,YES,NONE,Legalisir,"Jelaskan opsi luring/daring dan arahkan ke kanal resmi; biaya, jam, serta SLA wajib dicek ulang sebelum disebutkan.",Procedure and live-check metadata are present.
EV-D06,CORE,ADMINISTRATION,Bagaimana KRS manual setelah UTS?,Administration Agent,B01;B02,CH-ADM-B01-DOC-B01-PROCEDURE-0001|CH-ADM-B01-DOC-B01-PROCEDURE-0002|CH-ADM-B01-DOC-B01-PROCEDURE-0003|CH-SCH-B02-DOC-B02-PROCEDURE-0001|CH-SCH-B02-DOC-B02-PROCEDURE-0002|CH-SCH-B02-DOC-B02-PROCEDURE-0003,NOT_APPLICABLE,COVERED_BY_ACTIVE_CHUNK,ANSWER,YES,YES,NO,NONE,KRS Manual setelah UTS sampai UAS,"Generate PDF KRS manual, lengkapi persetujuan yang diwajibkan, lalu unggah melalui kanal resmi terautentikasi.",B02 chunks are shared through mapping to Schedule and Administration; text is not duplicated.
EV-C01,CORE,COORDINATOR,Berapa minimal SKS lulus dan kapan KRS Ganjil 2026/2027?,Coordinator Agent,A07;G02,CH-ACA-A07-DOC-A07-ACTIVE-GRADUATION_POLICY-0001|CH-BLK-G02-DOC-G02-BLOCKER_CONTROL-0001,G02,COVERED_BY_BLOCKER_CONTROL,ANSWER,YES,NO,YES,NONE,Syarat Akademis; Gap Registry,"Jawab 144 SKS dengan sitasi A07; untuk tanggal KRS, abstain dan handoff karena G02 OPEN.",Academic subanswer is active; schedule subanswer must abstain/handoff.
EV-C02,CORE,COORDINATOR,Apa kode Hardware/Software 2025 dan bagaimana KRS manual?,Coordinator Agent,A12;B02,CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0016|CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0033|CH-SCH-B02-DOC-B02-PROCEDURE-0001|CH-SCH-B02-DOC-B02-PROCEDURE-0002|CH-SCH-B02-DOC-B02-PROCEDURE-0003,CF001,COVERED_BY_ACTIVE_CHUNK,ANSWER,YES,YES,NO,NONE,Penyetaraan; KRS Manual,Gabungkan kode ST427 dari A12 dengan prosedur KRS manual dari B02; handoff untuk unggah/ACC.,Two specialist source groups are mapped without text duplication.
EV-C03,CORE,COORDINATOR,Apa syarat cuti dan kapan batas pengajuannya untuk Ganjil 2026/2027?,Coordinator Agent,B03;G02,CH-ADM-B03-DOC-B03-PROCEDURE-0001|CH-ADM-B03-DOC-B03-PROCEDURE-0002|CH-ADM-B03-DOC-B03-PROCEDURE-0003|CH-BLK-G02-DOC-G02-BLOCKER_CONTROL-0001,G02,COVERED_BY_BLOCKER_CONTROL,ANSWER,YES,YES,YES,NONE,Alur Cuti; Gap Registry,Jelaskan prosedur umum B03; abstain untuk tanggal Ganjil 2026/2027 dan handoff ke DAAK.,General procedure is active; current semester date is blocked.
EV-C04,CORE,COORDINATOR,Apa konsentrasi angkatan 2025 dan kapan periode KRS berikutnya?,Coordinator Agent,A06;A11;G02,CH-ACA-A06-DOC-A06-CURRICULUM_INDEX-0004|CH-ACA-A11-DOC-A11-COURSE_NODE-0035|CH-BLK-G02-DOC-G02-BLOCKER_CONTROL-0001,G02,COVERED_BY_BLOCKER_CONTROL,ASK_CONTEXT,YES,NO,YES,NONE,Kurikulum 2025; Gap Registry,Jawab daftar konsentrasi; untuk periode KRS berikutnya minta konteks semester dan abstain bila yang dimaksud Ganjil 2026/2027.,Concentration evidence is active; next KRS date requires context/live source.
