qa_id,criterion,status,evidence,checked_at_wib
Q01,Embedding input tepat 306 vector.,PASS,"(306, 384)",2026-07-27T12:19:34.636+07:00
Q02,Database berisi tepat 306 record.,PASS,306,2026-07-27T12:19:34.637+07:00
Q03,Dimensi seluruh vector = 384.,PASS,306 records,2026-07-27T12:19:34.637+07:00
Q04,Seluruh vector_id unik.,PASS,306,2026-07-27T12:19:34.637+07:00
Q05,Seluruh chunk_id unik.,PASS,306,2026-07-27T12:19:34.637+07:00
Q06,"Tidak ada CONFLICT, BLOCKED, atau CONTROL.",PASS,"{'ACTIVE': 271, 'ACTIVE_DYNAMIC': 10, 'ARCHIVE': 25}",2026-07-27T12:19:34.637+07:00
Q07,Distribusi namespace sesuai 243/3/25/10/25.,PASS,"{'active_academic': 243, 'active_administration': 25, 'active_dynamic_schedule': 10, 'active_schedule': 3, 'archive_schedule': 25}",2026-07-27T12:19:34.637+07:00
Q08,Seluruh chunk_text tersedia.,PASS,306 non-empty,2026-07-27T12:19:34.639+07:00
Q09,Seluruh metadata wajib tersedia.,PASS,24 fields PASS,2026-07-27T12:19:34.639+07:00
Q10,Vector dan metadata tidak tertukar.,PASS,vector_index/vector_id/chunk_id order matched,2026-07-27T12:19:34.639+07:00
Q11,ACTIVE_DYNAMIC memiliki TTL dan live-check.,PASS,"{'test_id': 'SMK-06', 'test_name': 'ACTIVE_DYNAMIC control filter', 'sql_filter': ""SELECT vector_id FROM vector_records WHERE lifecycle_status='ACTIVE_DYNAMIC' AND ttl_days=1 AND live_check_required=1 AND snapshot_at_wib NOT IN ('','NOT_AVAILABLE','NOT_APPLICABLE')"", 'expected_count': 10, 'actual_count': 10, 'status': 'PASS', 'evidence': 'All dynamic records retain TTL, live-check, and snapshot.'}",2026-07-27T12:19:34.639+07:00
Q12,ARCHIVE memiliki active_retrieval_allowed=false.,PASS,25/25,2026-07-27T12:19:34.639+07:00
Q13,Database persisten dan dapat dibuka kembali.,PASS,306,2026-07-27T12:19:34.639+07:00
Q14,Jumlah record tetap 306 setelah reload.,PASS,306,2026-07-27T12:19:34.639+07:00
Q15,Sample record dapat diambil berdasarkan vector_id.,PASS,VEC-E5S-CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0001,2026-07-27T12:19:34.639+07:00
Q16,Metadata filter namespace dan lifecycle berfungsi.,PASS,7/7 PASS,2026-07-27T12:19:34.639+07:00
Q17,Hash input dan output tercatat.,PASS,"{'inputs': 6, 'faiss_index': 'e7d83504bfbbc131049896f66921f4b00535dd22b0c0c74cfdf25811ac69f4b7', 'metadata_sqlite': '0d1ee79ec95d0341a448218681d95b04f85a5cb61ac5942611f194592c6b4b4d'}",2026-07-27T12:19:34.641+07:00
Q18,Corpus dan embedding asli tidak berubah.,PASS,"{'Embedding_Corpus_RAG_AMIKOM_V1.zip': {'size_bytes': 1330562, 'sha256': 'f72a7d7f81c24099de4c039bcd44611a12f00bd2c23675e00b3d97a7276e472d'}, 'Manifest_Embedding_RAG_AMIKOM_V1.xlsx': {'size_bytes': 152329, 'sha256': 'e5973f317d1c4d356d65bd7689bda6cde104e41b26a00b6fdf391eeee3edd8a6'}, 'Embedding_Config_RAG_AMIKOM_V1.json': {'size_bytes': 3121, 'sha256': 'df0b999d321321c94daa210fb3316ba0465e744dbde37d24a882125b1a8e3ede'}, 'Laporan_Embedding_RAG_AMIKOM_V1.pdf': {'size_bytes': 97065, 'sha256': 'd2eb580cf6272e8fc39d84af0794a8589f705d9fca9359bb2973da8d70edc4c9'}, 'README_Embedding_RAG_AMIKOM_V1.md': {'size_bytes': 3650, 'sha256': 'ff3d1ba5f4afc7b133f2680574f87ced62b6491343be526ac4c1283146f8b0a2'}, 'Chunk_Corpus_RAG_AMIKOM_V1.jsonl': {'size_bytes': 1093843, 'sha256': '9bc4147b2872db0dba4ff46b0d1050662f61975b672555212ddabdf5b68e174e'}}",2026-07-27T12:19:34.641+07:00
