authority_rank,logical_name,filename,detected_version,detected_date,authority_role,read_status,file_size_bytes,sha256,immutable_input
1,Soal UAS PDM,UAS PDM(2).pdf,Semester Genap 2025/2026; nomor versi internal tidak tercantum,2025/2026,PRIMARY_ASSIGNMENT,READ_OK,221931,18bfedddc284eb70ad8f3395d016cdb27016674cd1f9b608145f3580653012c5,YES
2,Dokumen Pembekuan Scope,Analisis_Pembekuan_Scope_UAS_PDM_AMIKOM(3).pdf,BASELINE_2026-07-24,2026-07-24,SCOPE_FREEZE,READ_OK,375970,9844ebf854d29e2830bfb82e804914928a2910ae7411c25b38918d8692247197,YES
3,Laporan Audit Pasca Scope Freeze,Laporan_Audit_Sumber_RAG_AMIKOM_Pasca_Scope_Freeze(2).pdf,AUDIT_2026-07-24,2026-07-24,SOURCE_AUDIT,READ_OK,111084,b46400a710b4ea8217f1f319f3197587805cbf0b72b873a6b5fba21f1a6c6ff8,YES
4,Inventaris Sumber V2,Inventaris_Sumber_RAG_AMIKOM_V2_Pasca_Scope_Freeze(2).xlsx,V2 Pasca Scope Freeze,2026-07-24,SOURCE_AND_EVALUATION_REGISTRY,READ_OK,63113,a4713a1875cc02e35de39c9ded1c84dafbac200c3c0c61735a2524be117cadcb,YES
5,Dokumen Pemulihan Konteks,Dokumen_Pemulihan_Konteks_dan_Roadmap_UAS_PDM_AMIKOM(1).pdf,V1.0,2026-07-24,CONTEXT_AND_ROADMAP,READ_OK,236131,be258a48c286de873b4b38f1728868db766f28343ed7070a0543a9a8a63a1007,YES
6,Clean_Corpus_RAG_AMIKOM_V1.zip,Clean_Corpus_RAG_AMIKOM_V1.zip,Clean Corpus V1,2026-07-26,CHUNKING_INPUT,READ_OK,381521,668f2931d95412bc204271268d6c5e6b20da5440ec38c5d7e8cc2f735cea71b6,YES
7,Manifest_Clean_Corpus_RAG_AMIKOM_V1.xlsx,Manifest_Clean_Corpus_RAG_AMIKOM_V1.xlsx,Clean Corpus V1,2026-07-26,CHUNKING_INPUT,READ_OK,94938,8f13a3d7c8741ec4aa4812a3d62ed3b8190b73bf035c63bf410cb6759129ddc3,YES
8,Laporan_Cleaning_Normalisasi_Metadata_Corpus_RAG_AMIKOM.pdf,Laporan_Cleaning_Normalisasi_Metadata_Corpus_RAG_AMIKOM.pdf,Clean Corpus V1,2026-07-26,CHUNKING_INPUT,READ_OK,86089,d26ef3a39de7f51bcbba796096d4c9376307bc7af882445518693e8945e86faf,YES
9,README_Clean_Corpus.md,README_Clean_Corpus.md,Clean Corpus V1,2026-07-26,CHUNKING_INPUT,READ_OK,5179,adab5a251ed7c8219dd2f159c1319e2fb6c18dd5672508fc203e210f766f6eca,YES
10,Structured_Tables_RAG_AMIKOM_V1.xlsx,Structured_Tables_RAG_AMIKOM_V1.xlsx,Raw Corpus V1,2026-07-26,CHUNKING_INPUT,READ_OK,31583,94012ee9d7e1f112cd5c27a4905bacc72db2110c388bd4b37c695d9b1b4907f7,YES
11,Raw_Corpus_RAG_AMIKOM_V1.zip,Raw_Corpus_RAG_AMIKOM_V1.zip,Raw Corpus V1,2026-07-26,TRACEABILITY_ONLY,READ_OK,34921618,f1af33d51b708b6a748a3155e65401f00de542dc961d2dacb0aeb638f7ad7c87,YES
12,Manifest_Raw_Corpus_RAG_AMIKOM_V1.xlsx,Manifest_Raw_Corpus_RAG_AMIKOM_V1.xlsx,Raw Corpus V1,2026-07-26,TRACEABILITY_ONLY,READ_OK,44979,9324e71dbdf841c0e3c09c6aea3f0bc80b23925bde111ed28cb395e42e6312d7,YES
