review_id,chunk_id,sample_reason,source_id,document_id,chunk_type,agent_namespace,lifecycle_status,token_count,clean_source_conformity,locator_check,token_check,lifecycle_check,namespace_check,metadata_check,meaning_preserved,pii_check,single_source_check,reviewer,reviewed_at_wib,review_status,review_notes
MCR-0001,CH-ACA-A07-DOC-A07-ACTIVE-GRADUATION_POLICY-0013,Academic narrative,A07,DOC-A07-ACTIVE,GRADUATION_POLICY,academic,ACTIVE,299,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0002,CH-ACA-A10-DOC-A10-COURSE_ROW-0060,A10 row,A10,DOC-A10,COURSE_ROW,academic,ACTIVE,168,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0003,CH-ACA-A11-DOC-A11-COURSE_NODE-0067,A11 node,A11,DOC-A11,COURSE_NODE,academic,ACTIVE,260,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0004,CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0045,A12 equivalency,A12,DOC-A12,EQUIVALENCY_ROW,academic,ACTIVE,165,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0005,CH-DYN-A03-DOC-A03-CURRENT_EVENT-0005,A03 dynamic event,A03,DOC-A03,CURRENT_EVENT,schedule,ACTIVE_DYNAMIC,129,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0006,CH-ARC-A05-DOC-A05-ARCHIVE_EVENT-0002,Archive event,A05,DOC-A05,ARCHIVE_EVENT,schedule,ARCHIVE,167,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0007,CH-SCH-B02-DOC-B02-PROCEDURE-0001,Administration procedure,B02,DOC-B02,PROCEDURE,schedule,ACTIVE,281,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0008,CH-CON-A07-DOC-A07-CONFLICT-CONFLICT_CLAIM-0001,Conflict control,A07,DOC-A07-CONFLICT,CONFLICT_CLAIM,verifier,CONFLICT,21,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0009,CH-BLK-G02-DOC-G02-BLOCKER_CONTROL-0001,Blocker control,G02,DOC-G02,BLOCKER_CONTROL,verifier,BLOCKED,165,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0010,CH-CTL-INT02-DOC-INT02-CONTROL_RECORD-0001,Project control,INT02,DOC-INT02,CONTROL_RECORD,coordinator,CONTROL,118,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0011,CH-ACA-A11-DOC-A11-COURSE_NODE-0034,Deterministic fill,A11,DOC-A11,COURSE_NODE,academic,ACTIVE,261,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0012,CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0019,Deterministic fill,A12,DOC-A12,EQUIVALENCY_ROW,academic,ACTIVE,198,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0013,CH-ADM-B05-DOC-B05-PROCEDURE-0003,Deterministic fill,B05,DOC-B05,PROCEDURE,administration,ACTIVE,170,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0014,CH-ACA-A11-DOC-A11-COURSE_NODE-0037,Deterministic fill,A11,DOC-A11,COURSE_NODE,academic,ACTIVE,280,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0015,CH-ARC-A04-DOC-A04-ARCHIVE_EVENT-0001,Deterministic fill,A04,DOC-A04,ARCHIVE_EVENT,schedule,ARCHIVE,155,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0016,CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0031,Deterministic fill,A12,DOC-A12,EQUIVALENCY_ROW,academic,ACTIVE,176,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
MCR-0017,CH-ARC-D01-DOC-D01-ARCHIVE_EVENT-0003,Deterministic fill,D01,DOC-D01,ARCHIVE_EVENT,schedule,ARCHIVE,157,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Codex — systematic manual source-side review,2026-07-26T09:25:38+07:00,PASS,Compared with the cited clean source/table row and metadata locator; no model retrieval or answer generation was executed.
